obra;mes_ano
Z128;09/2012
Z128;10/2012
Z128;11/2012
Z128;12/2012
Z128;01/2013
Z128;02/2013
Z128;03/2013
Z128;04/2013
Z128;05/2013
Z128;06/2013
Z128;07/2013
Z128;08/2013
Z128;09/2013
Z128;10/2013
Z128;11/2013
Z128;12/2013
Z128;01/2014
Z133;09/2010
Z133;10/2010
Z133;11/2010
Z133;12/2010
Z133;01/2011
Z133;02/2011
Z133;03/2011
Z133;04/2011
Z133;05/2011
Z133;06/2011
Z133;07/2011
Z133;08/2011
Z133;09/2011
Z133;10/2011
Z133;11/2011
Z133;12/2011
Z133;01/2012
Z133;02/2012
Z133;03/2012
Z133;04/2012
Z133;05/2012
Z133;06/2012
Z133;07/2012
Z133;08/2012
Z133;09/2012
Z133;10/2012
Z133;11/2012
Z133;12/2012
Z133;01/2013
Z133;02/2013
Z133;03/2013
Z133;04/2013
Z133;05/2013
Z133;06/2013
Z133;07/2013
Z133;08/2013
Z133;09/2013
Z133;10/2013
Z133;11/2013
Z133;12/2013
Z133;01/2014
Z133;02/2014
Z133;03/2014
Z133;04/2014
Z133;05/2014
Z133;06/2014
Z133;07/2014
Z133;08/2014
Z133;09/2014
Z133;10/2014
Z133;11/2014
Z133;12/2014
Z133;01/2015
Z133;02/2015
Z133;03/2015
Z133;04/2015
Z133;05/2015
Z133;06/2015
Z133;07/2015
Z133;08/2015
Z134;10/2010
Z134;11/2010
Z134;12/2010
Z134;01/2011
Z134;02/2011
Z134;03/2011
Z134;04/2011
Z134;05/2011
Z134;06/2011
Z134;07/2011
Z134;08/2011
Z134;09/2011
Z134;10/2011
Z134;11/2011
Z134;12/2011
Z134;01/2012
Z134;02/2012
Z134;03/2012
Z134;04/2012
Z134;05/2012
Z134;06/2012
Z134;07/2012
Z134;08/2012
Z134;09/2012
Z134;10/2012
Z146;01/2012
Z146;02/2012
Z146;03/2012
Z146;04/2012
Z146;05/2012
Z146;06/2012
Z146;07/2012
Z146;08/2012
Z146;09/2012
Z146;10/2012
Z146;11/2012
Z146;12/2012
Z146;01/2013
Z146;02/2013
Z146;03/2013
Z146;04/2013
Z146;05/2013
Z146;06/2013
Z146;07/2013
Z146;08/2013
Z146;09/2013
Z147;07/2012
Z147;08/2012
Z147;09/2012
Z147;10/2012
Z147;11/2012
Z147;12/2012
Z147;01/2013
Z147;02/2013
Z147;03/2013
Z147;04/2013
Z147;05/2013
Z147;06/2013
Z147;07/2013
Z147;08/2013
Z147;09/2013
Z147;10/2013
Z147;11/2013
Z147;12/2013
Z147;01/2014
Z147;02/2014
Z147;03/2014
Z147;04/2014
Z147;05/2014
Z147;06/2014
Z147;07/2014
Z147;08/2014
Z147;09/2014
Z147;10/2014
Z147;11/2014
Z147;12/2014
Z147;01/2015
Z147;02/2015
Z147;03/2015
Z147;04/2015
Z147;05/2015
Z147;06/2015
Z147;07/2015
Z147;08/2015
Z147;09/2015
Z147;10/2015
Z147;11/2015
Z147;12/2015
Z147;01/2016
Z147;02/2016
Z147;03/2016
Z147;04/2016
Z147;05/2016
Z147;06/2016
Z147;07/2016
Z147;08/2016
Z147;09/2016
Z147;10/2016
Z147;11/2016
Z147;12/2016
Z147;01/2017
Z147;02/2017
Z147;03/2017
Z147;04/2017
Z147;05/2017
Z147;06/2017
Z148;01/2012
Z148;02/2012
Z148;03/2012
Z148;04/2012
Z148;05/2012
Z148;06/2012
Z148;07/2012
Z148;08/2012
Z148;09/2012
Z148;10/2012
Z148;11/2012
Z148;12/2012
Z148;01/2013
Z148;02/2013
Z148;03/2013
Z148;04/2013
Z148;05/2013
Z148;06/2013
Z148;07/2013
Z148;08/2013
Z148;09/2013
Z148;10/2013
Z148;11/2013
Z148;12/2013
Z149;12/2011
Z149;01/2012
Z149;02/2012
Z149;03/2012
Z149;04/2012
Z149;05/2012
Z149;06/2012
Z149;07/2012
Z149;08/2012
Z149;09/2012
Z149;10/2012
Z149;11/2012
Z149;12/2012
Z149;01/2013
Z149;02/2013
Z149;03/2013
Z149;04/2013
Z149;05/2013
Z149;06/2013
Z149;07/2013
Z149;08/2013
Z149;09/2013
Z149;10/2013
Z149;11/2013
Z149;12/2013
Z149;01/2014
Z149;02/2014
Z149;03/2014
Z149;04/2014
Z149;05/2014
Z149;06/2014
Z149;07/2014
Z149;08/2014
Z149;09/2014
Z149;10/2014
Z149;11/2014
Z149;12/2014
Z149;01/2015
Z149;02/2015
Z149;03/2015
Z149;04/2015
Z149;05/2015
Z149;06/2015
Z149;07/2015
Z149;08/2015
Z149;09/2015
Z149;10/2015
Z149;11/2015
Z149;12/2015
Z149;01/2016
Z149;02/2016
Z149;03/2016
Z149;04/2016
Z149;05/2016
Z149;06/2016
Z149;07/2016
Z149;08/2016
Z149;09/2016
Z149;10/2016
Z149;11/2016
Z149;12/2016
Z149;01/2017
Z149;02/2017
Z149;03/2017
Z149;04/2017
Z149;05/2017
Z149;06/2017
Z150;01/2012
Z150;02/2012
Z150;03/2012
Z150;04/2012
Z150;05/2012
Z150;06/2012
Z150;07/2012
Z150;08/2012
Z150;09/2012
Z150;10/2012
Z150;11/2012
Z150;12/2012
Z150;01/2013
Z150;02/2013
Z150;03/2013
Z150;04/2013
Z150;05/2013
Z150;06/2013
Z150;07/2013
Z150;08/2013
Z150;09/2013
Z150;10/2013
Z150;11/2013
Z150;12/2013
Z150;01/2014
Z150;02/2014
Z150;03/2014
Z150;04/2014
Z150;05/2014
Z150;06/2014
Z150;07/2014
Z150;08/2014
Z150;09/2014
Z150;10/2014
Z150;11/2014
Z150;12/2014
Z150;01/2015
Z150;02/2015
Z150;03/2015
Z150;04/2015
Z150;05/2015
Z150;06/2015
Z150;07/2015
Z150;08/2015
Z150;09/2015
Z150;10/2015
Z150;11/2015
Z150;12/2015
Z150;01/2016
Z150;02/2016
Z150;03/2016
Z150;04/2016
Z150;05/2016
Z150;06/2016
Z150;07/2016
Z150;08/2016
Z150;09/2016
Z150;10/2016
Z150;11/2016
Z150;12/2016
Z150;01/2017
Z150;02/2017
Z150;03/2017
Z150;04/2017
Z150;05/2017
Z150;06/2017
Z151;01/2012
Z151;02/2012
Z151;03/2012
Z151;04/2012
Z151;05/2012
Z151;06/2012
Z151;07/2012
Z151;08/2012
Z151;09/2012
Z151;10/2012
Z151;11/2012
Z151;12/2012
Z151;01/2013
Z151;02/2013
Z151;03/2013
Z151;04/2013
Z151;05/2013
Z151;06/2013
Z151;07/2013
Z151;08/2013
Z151;09/2013
Z151;10/2013
Z151;11/2013
Z151;12/2013
Z151;01/2014
Z152;04/2012
Z152;05/2012
Z152;06/2012
Z152;07/2012
Z152;08/2012
Z152;09/2012
Z152;10/2012
Z152;11/2012
Z152;12/2012
Z152;01/2013
Z152;02/2013
Z152;03/2013
Z152;04/2013
Z152;05/2013
Z152;06/2013
